CLAS physics database search results
Measurement E30M1
G11A Run K+Lambda Data
M. McCracken, C. A. Meyer
2008

W	cos(theta_K+)	dsigma/dcos(theta K+)	Data errors
GeV	dimensionless	mcb	mcb
2.495	0.87	1.2025	0.0634
2.505	-0.8	0.0695	0.0144
2.505	-0.7	0.048	0.0078
2.505	-0.6	0.0365	0.0065
2.505	-0.5	0.0339	0.0049
2.505	-0.4	0.0272	0.0038
2.505	-0.3	0.0428	0.0054
2.505	-0.2	0.0515	0.0056
2.505	-0.1	0.0513	0.0062
2.505	0	0.0408	0.0041
2.505	0.1	0.0545	0.0044
2.505	0.2	0.0596	0.0045
2.505	0.3	0.0799	0.0052
2.505	0.4	0.1374	0.0069
2.505	0.5	0.2466	0.0097
2.505	0.6	0.4555	0.0141
2.505	0.7	0.7195	0.0177
2.505	0.8	1.1269	0.0241
2.505	0.87	1.0959	0.0424
2.515	-0.8	0.0647	0.0138
2.515	-0.7	0.0338	0.0064
2.515	-0.6	0.0294	0.0057
2.515	-0.5	0.0223	0.0038
2.515	-0.4	0.0281	0.0038
2.515	-0.3	0.0373	0.0048
2.515	-0.2	0.0403	0.0046
2.515	-0.1	0.0439	0.0057
2.515	0	0.0493	0.0045
2.515	0.1	0.0456	0.004
2.515	0.2	0.0547	0.0042
2.515	0.3	0.0649	0.0047
2.515	0.4	0.1146	0.0061
2.515	0.5	0.2397	0.0091
2.515	0.6	0.4597	0.0141
2.515	0.7	0.7191	0.02
2.515	0.8	1.0944	0.0235
2.515	0.87	1.1769	0.0461
2.525	-0.8	0.0765	0.0315
2.525	-0.7	0.0288	0.0065
2.525	-0.6	0.0296	0.0061
2.525	-0.5	0.024	0.0042
2.525	-0.4	0.0293	0.005
2.525	-0.3	0.0407	0.0054
2.525	-0.2	0.0408	0.005
2.525	-0.1	0.0444	0.0061
2.525	0	0.0472	0.0046
2.525	0.1	0.0491	0.0044
2.525	0.2	0.0571	0.0047
2.525	0.3	0.0744	0.0054
2.525	0.4	0.1078	0.0065
2.525	0.5	0.2303	0.0099
2.525	0.6	0.4289	0.0144
2.525	0.7	0.7463	0.0194
2.525	0.8	1.0618	0.0238
2.525	0.87	1.0559	0.043
2.535	-0.8	0.0625	0.0139
2.535	-0.7	0.0407	0.007
2.535	-0.6	0.0265	0.0051
2.535	-0.5	0.0241	0.0047
2.535	-0.4	0.0267	0.0037
2.535	-0.3	0.0403	0.005
2.535	-0.2	0.0468	0.005
2.535	-0.1	0.0397	0.0053
2.535	0	0.0464	0.0043
2.535	0.1	0.044	0.0039
2.535	0.2	0.0521	0.0041
2.535	0.3	0.064	0.0047
2.535	0.4	0.0946	0.0056
2.535	0.5	0.2124	0.0086
2.535	0.6	0.3884	0.0125
2.535	0.7	0.6829	0.0171
2.535	0.8	1.0067	0.0209
2.535	0.87	1.1456	0.0436
2.545	-0.8	0.0628	0.0145
2.545	-0.7	0.0301	0.0061
2.545	-0.6	0.0329	0.0061
2.545	-0.5	0.0256	0.0041
2.545	-0.4	0.0224	0.0036
2.545	-0.3	0.031	0.0046
2.545	-0.2	0.0357	0.0044
2.545	-0.1	0.0441	0.0058
2.545	0	0.0444	0.0042
2.545	0.1	0.0482	0.0041
2.545	0.2	0.0538	0.0042
2.545	0.3	0.0654	0.0046
2.545	0.4	0.0941	0.0067
2.545	0.5	0.2163	0.009
2.545	0.6	0.4064	0.0134
2.545	0.7	0.7395	0.0184
2.545	0.8	1.0303	0.0218
2.545	0.87	1.0945	0.0435
2.555	-0.8	0.0917	0.0196
2.555	-0.7	0.0413	0.0075
2.555	-0.6	0.0217	0.0048
2.555	-0.5	0.0143	0.0031
2.555	-0.4	0.0324	0.0044
2.555	-0.3	0.0377	0.0051
2.555	-0.2	0.0353	0.0045
2.555	-0.1	0.0388	0.005
2.555	0	0.0316	0.0037
2.555	0.1	0.0416	0.0039
2.555	0.2	0.0451	0.0047
2.555	0.3	0.0519	0.0043
2.555	0.4	0.0991	0.0058
2.555	0.5	0.1906	0.0087
2.555	0.6	0.3904	0.0138
2.555	0.7	0.6926	0.0213
2.555	0.8	1.0333	0.0258
2.555	0.87	1.2542	0.0524
2.565	-0.4	0.0261	0.0049
2.565	-0.3	0.0326	0.0045
2.565	-0.2	0.0319	0.0043
2.565	-0.1	0.0346	0.0047
2.565	0	0.039	0.0039
2.565	0.1	0.0371	0.0036
2.565	0.2	0.046	0.004
2.565	0.3	0.0573	0.0044
2.565	0.4	0.0963	0.0057
2.565	0.5	0.1954	0.0084
2.565	0.6	0.394	0.0129
2.565	0.7	0.699	0.0176
2.565	0.8	1.0463	0.0222
2.565	0.87	1.0448	0.045
2.575	-0.8	0.0669	0.0135
2.575	-0.7	0.04	0.0075
2.575	-0.6	0.0229	0.0051
2.575	-0.5	0.0294	0.0044
2.575	-0.4	0.0232	0.0036
2.575	-0.3	0.0295	0.0045
2.575	-0.2	0.0381	0.005
2.575	-0.1	0.0324	0.0045
2.575	0	0.0356	0.0037
2.575	0.1	0.0313	0.0033
2.575	0.2	0.0446	0.004
2.575	0.3	0.0571	0.0044
2.575	0.4	0.0828	0.0052
2.575	0.5	0.1613	0.0078
2.575	0.6	0.3557	0.0121
2.575	0.7	0.6506	0.0171
2.575	0.8	0.9421	0.0222
2.575	0.87	1.1528	0.0664
2.585	-0.8	0.0868	0.0193
2.585	-0.7	0.0466	0.0087
2.585	-0.6	0.0292	0.0061
2.585	-0.5	0.0247	0.0044
2.585	-0.4	0.0296	0.0046
2.585	-0.3	0.0344	0.0051
2.585	-0.2	0.0321	0.0051
2.585	-0.1	0.0349	0.0046
2.585	0	0.0274	0.0034
2.585	0.1	0.0338	0.0037
2.585	0.2	0.0404	0.004
2.585	0.3	0.0477	0.0054
2.585	0.4	0.0756	0.0054
2.585	0.5	0.1693	0.0087
2.585	0.6	0.3367	0.013
2.585	0.7	0.6207	0.0179
2.585	0.8	0.9633	0.0226
2.585	0.87	1.0632	0.0492
2.595	-0.5	0.0185	0.0055
2.595	-0.4	0.0298	0.0097
2.595	-0.3	0.0282	0.0049
2.595	-0.2	0.0359	0.0057
2.595	-0.1	0.0325	0.0048
2.595	0	0.0329	0.004
2.595	0.1	0.0237	0.0032
2.595	0.2	0.0292	0.0035
2.595	0.3	0.0459	0.0044
2.595	0.4	0.0828	0.0058
2.595	0.5	0.1668	0.009
2.595	0.6	0.336	0.0131
2.595	0.7	0.5697	0.0172
2.595	0.8	0.9055	0.0221
2.595	0.87	0.9959	0.05
2.605	-0.8	0.0794	0.0141
2.605	-0.7	0.0416	0.0059
2.605	-0.6	0.0221	0.004
2.605	-0.5	0.0149	0.0025
2.605	-0.4	0.0183	0.0027
2.605	-0.3	0.0311	0.0038
2.605	-0.2	0.0226	0.0033
2.605	-0.1	0.0297	0.0032
2.605	0	0.0324	0.0029
2.605	0.1	0.0299	0.0026
2.605	0.2	0.0301	0.0026
2.605	0.3	0.0389	0.003
2.605	0.4	0.0726	0.0043
2.605	0.5	0.1781	0.0078
2.605	0.6	0.3283	0.0098
2.605	0.7	0.5881	0.0135
2.605	0.8	0.9491	0.0179
2.605	0.87	1.0555	0.0425
2.615	-0.8	0.0709	0.0125
2.615	-0.7	0.0395	0.0059
2.615	-0.6	0.0146	0.0032
2.615	-0.5	0.0189	0.0028
2.615	-0.4	0.0172	0.0026
2.615	-0.3	0.0234	0.0032
2.615	-0.2	0.0207	0.0029
2.615	-0.1	0.0294	0.0031
2.615	0	0.0288	0.0027
2.615	0.1	0.0348	0.0028
2.615	0.2	0.0332	0.0028
2.615	0.3	0.0397	0.003
2.615	0.4	0.0738	0.0039
2.615	0.5	0.1528	0.0063
2.615	0.6	0.3101	0.0094
2.615	0.7	0.5933	0.0136
2.615	0.8	0.9717	0.0178
2.615	0.87	0.9172	0.0365
2.625	-0.8	0.0569	0.0151
2.625	-0.7	0.0372	0.0069
2.625	-0.6	0.0168	0.0043
2.625	-0.5	0.0192	0.0035
2.625	-0.4	0.0231	0.0037
2.625	-0.3	0.0263	0.004
2.625	-0.2	0.022	0.0038
2.625	-0.1	0.0262	0.0036
2.625	0	0.0247	0.0032
2.625	0.1	0.029	0.0031
2.625	0.2	0.0311	0.0033
2.625	0.3	0.0346	0.0034
2.625	0.4	0.0603	0.0043
2.625	0.5	0.1428	0.0073
2.625	0.6	0.3121	0.0119
2.625	0.7	0.5941	0.0224
2.625	0.8	0.9447	0.0239
2.625	0.87	1.054	0.0522
2.635	-0.8	0.0619	0.0159
2.635	-0.7	0.0407	0.0074
2.635	-0.6	0.0262	0.0055
2.635	-0.5	0.0174	0.0034
2.635	-0.4	0.021	0.0039
2.635	-0.3	0.0287	0.0044
2.635	-0.2	0.0253	0.0044
2.635	-0.1	0.0233	0.0035
2.635	0	0.0266	0.0034
2.635	0.1	0.0299	0.0033
2.635	0.2	0.0257	0.0031
2.635	0.3	0.0344	0.0036
2.635	0.4	0.0625	0.0046
2.635	0.5	0.1342	0.0075
2.635	0.6	0.2591	0.0105
2.635	0.7	0.564	0.0164
2.635	0.8	0.8918	0.0206
2.635	0.87	1.1291	0.0599
2.645	-0.8	0.0388	0.0112
2.645	-0.7	0.0216	0.0055
2.645	-0.6	0.0157	0.0051
2.645	-0.5	0.0165	0.0042
2.645	-0.4	0.0208	0.0037
2.645	-0.3	0.024	0.0038
2.645	-0.2	0.0299	0.0048
2.645	-0.1	0.0243	0.0035
2.645	0	0.0263	0.0033
2.645	0.1	0.027	0.0031
2.645	0.2	0.0249	0.003
2.645	0.3	0.0326	0.0034
2.645	0.4	0.0581	0.0043
2.645	0.5	0.1352	0.0073
2.645	0.6	0.2756	0.0108
2.645	0.7	0.4968	0.0144
2.645	0.8	0.8348	0.0198
2.645	0.87	0.9186	0.0525
2.655	-0.8	0.0568	0.0146
2.655	-0.7	0.0297	0.0064
2.655	-0.6	0.022	0.0048
2.655	-0.5	0.013	0.0029
2.655	-0.4	0.0169	0.0033
2.655	-0.3	0.018	0.0033
2.655	-0.2	0.0255	0.0045
2.655	-0.1	0.0226	0.0034
2.655	0	0.0188	0.0026
2.655	0.1	0.0218	0.0027
2.655	0.2	0.0263	0.0031
2.655	0.3	0.0273	0.0031
2.655	0.4	0.0553	0.0041
2.655	0.5	0.1169	0.0068
2.655	0.6	0.2498	0.01
2.655	0.7	0.51	0.015
2.655	0.8	0.8518	0.02
2.655	0.87	0.9739	0.0581
2.665	-0.8	0.0515	0.0144
2.665	-0.7	0.0319	0.0064
2.665	-0.6	0.021	0.0046
2.665	-0.5	0.0148	0.0031
2.665	-0.4	0.0188	0.0034
2.665	-0.3	0.0226	0.0037
2.665	-0.2	0.0275	0.0047
2.665	-0.1	0.0237	0.0033
2.665	0	0.0198	0.0027
2.665	0.1	0.0236	0.0028
2.665	0.2	0.0212	0.0027
2.665	0.3	0.0314	0.0032
2.665	0.4	0.0466	0.0036
2.665	0.5	0.1143	0.0065
2.665	0.6	0.249	0.0096
2.665	0.7	0.5323	0.0152
2.665	0.8	0.819	0.0191
2.665	0.87	0.8076	0.0514
2.675	-0.8	0.0403	0.0165
2.675	-0.7	0.0276	0.0062
2.675	-0.6	0.0127	0.0038
2.675	-0.5	0.0113	0.0034
2.675	-0.4	0.0156	0.0033
2.675	-0.3	0.0161	0.0032
2.675	-0.2	0.0214	0.0043
2.675	-0.1	0.017	0.0028
2.675	0	0.0257	0.0032
2.675	0.1	0.028	0.0032
2.675	0.2	0.0202	0.0027
2.675	0.3	0.0249	0.0029
2.675	0.4	0.0481	0.0039
2.675	0.5	0.109	0.0066
2.675	0.6	0.2564	0.0104
2.675	0.7	0.5096	0.0155
2.675	0.8	0.8544	0.0203
2.675	0.87	0.9117	0.0615
2.685	-0.8	0.0397	0.0119
2.685	-0.7	0.0313	0.0069
2.685	-0.6	0.0191	0.005
2.685	-0.5	0.0198	0.0048
2.685	-0.4	0.0152	0.0045
2.685	-0.3	0.0202	0.0038
2.685	-0.2	0.0132	0.0034
2.685	-0.1	0.0184	0.0031
2.685	0	0.0249	0.0034
2.685	0.1	0.0223	0.003
2.685	0.2	0.0174	0.0026
2.685	0.3	0.0287	0.0034
2.685	0.4	0.0414	0.0039
2.685	0.5	0.1202	0.0076
2.685	0.6	0.2491	0.0111
2.685	0.7	0.5067	0.0167
2.685	0.8	0.8205	0.0214
2.685	0.87	0.8221	0.0749
2.695	-0.8	0.0541	0.0148
2.695	-0.7	0.0263	0.0064
2.695	-0.6	0.0224	0.0055
2.695	-0.5	0.0131	0.0039
2.695	-0.4	0.0177	0.0037
2.695	-0.3	0.0164	0.0034
2.695	-0.2	0.0206	0.006
2.695	-0.1	0.0175	0.0029
2.695	0	0.0207	0.0031
2.695	0.1	0.0227	0.0029
2.695	0.2	0.0192	0.0028
2.695	0.3	0.0257	0.0032
2.695	0.4	0.0405	0.0038
2.695	0.5	0.0936	0.0065
2.695	0.6	0.2358	0.0102
2.695	0.7	0.4813	0.0153
2.695	0.8	0.7893	0.0198
2.695	0.87	0.9527	0.083
2.705	-0.8	0.046	0.0137
2.705	-0.7	0.0364	0.0073
2.705	-0.6	0.0197	0.0049
2.705	-0.5	0.0168	0.0042
2.705	-0.4	0.0171	0.0037
2.705	-0.3	0.0134	0.0028
2.705	-0.2	0.0178	0.0051
2.705	-0.1	0.017	0.0028
2.705	0	0.0163	0.0026
2.705	0.1	0.0181	0.0026
2.705	0.2	0.024	0.0031
2.705	0.3	0.0234	0.0031
2.705	0.4	0.0452	0.0041
2.705	0.5	0.093	0.0069
2.705	0.6	0.2324	0.0114
2.705	0.7	0.4619	0.0178
2.705	0.8	0.7611	0.0214
2.705	0.87	0.9524	0.1243
2.715	-0.8	0.0479	0.0128
2.715	-0.7	0.0249	0.0055
2.715	-0.6	0.0188	0.0043
2.715	-0.5	0.0114	0.0033
2.715	-0.4	0.0134	0.0031
2.715	-0.3	0.0116	0.0025
2.715	-0.2	0.0155	0.0035
2.715	-0.1	0.0124	0.0022
2.715	0	0.0158	0.0024
2.715	0.1	0.0184	0.0025
2.715	0.2	0.0195	0.0026
2.715	0.3	0.0291	0.0031
2.715	0.4	0.0379	0.0034
2.715	0.5	0.0967	0.0061
2.715	0.6	0.2214	0.0091
2.715	0.7	0.4291	0.0136
2.715	0.8	0.8372	0.0195
2.715	0.87	0.9969	0.1724
2.725	-0.8	0.045	0.0151
2.725	-0.7	0.0237	0.0061
2.725	-0.6	0.0142	0.0041
2.725	-0.5	0.012	0.0035
2.725	-0.4	0.0193	0.0037
2.725	-0.3	0.0162	0.0031
2.725	-0.2	0.0179	0.0044
2.725	-0.1	0.0185	0.0029
2.725	0	0.0165	0.0026
2.725	0.1	0.0158	0.0024
2.725	0.2	0.0168	0.0025
2.725	0.3	0.0195	0.0026
2.725	0.4	0.0401	0.0036
2.725	0.5	0.1021	0.0064
2.725	0.6	0.2095	0.0094
2.725	0.7	0.427	0.0135
2.725	0.8	0.7706	0.0189
2.725	0.87	1.1275	0.4561
2.755	-0.8	0.0306	0.0098
2.755	-0.7	0.0205	0.0055
2.755	-0.6	0.016	0.0042
2.755	-0.5	0.0138	0.0038
2.755	-0.4	0.0154	0.0036
2.755	-0.3	0.0085	0.0022
2.755	-0.21	0.0205	0.0093
2.755	-0.1	0.0171	0.0032
2.755	0	0.0153	0.0035
2.755	0.1	0.0113	0.0024
2.755	0.2	0.0147	0.0039
2.755	0.3	0.0166	0.0024
2.755	0.4	0.0337	0.0034
2.755	0.5	0.0724	0.0054
2.755	0.6	0.1758	0.0085
2.755	0.7	0.3668	0.0126
2.755	0.8	0.6986	0.0181
2.755	0.86	0.8673	0.0526
2.765	-0.8	0.0313	0.0108
2.765	-0.7	0.0216	0.0053
2.765	-0.6	0.0134	0.0038
2.765	-0.5	0.0119	0.0027
2.765	-0.4	0.0104	0.0027
2.765	-0.3	0.0112	0.0037
2.765	-0.2	0.0113	0.0029
2.765	-0.1	0.0115	0.0022
2.765	0	0.0134	0.0023
2.765	0.1	0.016	0.0023
2.765	0.2	0.0185	0.0026
2.765	0.3	0.0149	0.0022
2.765	0.4	0.0364	0.0034
2.765	0.5	0.0739	0.0054
2.765	0.6	0.1725	0.008
2.765	0.7	0.4106	0.0132
2.765	0.8	0.7468	0.0185
2.765	0.86	0.8612	0.0584
2.775	-0.7	0.0192	0.005
2.775	-0.6	0.0157	0.0041
2.775	-0.5	0.0127	0.0035
2.775	-0.4	0.0138	0.0032
2.775	-0.3	0.0159	0.0031
2.775	-0.2	0.0136	0.0033
2.775	-0.1	0.0122	0.0022
2.775	0	0.0113	0.0021
2.775	0.1	0.0151	0.0023
2.775	0.2	0.0138	0.0022
2.775	0.3	0.0186	0.0025
2.775	0.4	0.0273	0.0033
2.775	0.5	0.0654	0.005
2.775	0.6	0.1733	0.0082
2.775	0.7	0.3602	0.0121
2.775	0.8	0.7053	0.0177
2.775	0.86	0.8938	0.0626
2.785	-0.7	0.0133	0.0044
2.785	-0.6	0.0152	0.0041
2.785	-0.5	0.0125	0.0036
2.785	-0.4	0.0149	0.0034
2.785	-0.3	0.0155	0.0032
2.785	-0.2	0.0126	0.0032
2.785	-0.1	0.0112	0.0022
2.785	0	0.0142	0.0024
2.785	0.1	0.0128	0.0021
2.785	0.2	0.013	0.0022
2.785	0.3	0.014	0.0022
2.785	0.4	0.026	0.003
2.785	0.5	0.0594	0.0049
2.785	0.6	0.1641	0.0081
2.785	0.7	0.3656	0.0125
2.785	0.8	0.6647	0.0178
2.785	0.86	0.884	0.058
2.795	-0.8	0.0342	0.0114
2.795	-0.7	0.0188	0.0053
2.795	-0.6	0.0123	0.0039
2.795	-0.5	0.01	0.0034
2.795	-0.4	0.0117	0.0031
2.795	-0.3	0.0086	0.0024
2.795	-0.2	0.0157	0.0038
2.795	-0.1	0.0084	0.002
2.795	0	0.0125	0.0023
2.795	0.1	0.0136	0.0023
2.795	0.2	0.0117	0.0024
2.795	0.3	0.0175	0.0025
2.795	0.4	0.0274	0.0031
2.795	0.5	0.0571	0.005
2.795	0.6	0.1741	0.009
2.795	0.7	0.3623	0.0131
2.795	0.8	0.7175	0.0196
2.795	0.86	0.7328	0.0553
2.805	-0.8	0.0221	0.0083
2.805	-0.7	0.014	0.0044
2.805	-0.6	0.0128	0.0037
2.805	-0.5	0.0049	0.0022
2.805	-0.4	0.0134	0.0032
2.805	-0.3	0.013	0.0027
2.805	-0.2	0.0112	0.0038
2.805	-0.1	0.0106	0.0021
2.805	0	0.0134	0.0023
2.805	0.1	0.012	0.002
2.805	0.2	0.0133	0.0022
2.805	0.3	0.0159	0.0022
2.805	0.4	0.0283	0.0029
2.805	0.5	0.0558	0.0046
2.805	0.6	0.1556	0.0077
2.805	0.7	0.3332	0.012
2.805	0.8	0.6412	0.0169
2.805	0.86	0.6564	0.0463
2.815	-0.8	0.018	0.0073
2.815	-0.7	0.0148	0.0047
2.815	-0.6	0.0167	0.0045
2.815	-0.5	0.0078	0.0028
2.815	-0.3	0.0092	0.0025
2.815	-0.2	0.0081	0.0031
2.815	-0.1	0.0072	0.0017
2.815	0	0.0114	0.0022
2.815	0.1	0.0129	0.0024
2.815	0.2	0.0137	0.0025
2.815	0.3	0.0188	0.0027
2.815	0.4	0.0304	0.0034
2.815	0.5	0.064	0.0057
2.815	0.6	0.1313	0.0083
2.815	0.7	0.3393	0.0158
2.815	0.8	0.617	0.0193
2.815	0.86	0.8791	0.0634
2.825	-0.8	0.0254	0.0093
2.825	-0.7	0.0171	0.0049
2.825	-0.6	0.0182	0.0058
2.825	-0.5	0.0096	0.0031
2.825	-0.4	0.0088	0.0033
2.825	-0.3	0.0098	0.0026
2.825	-0.2	0.0104	0.0038
2.825	-0.1	0.0075	0.0018
2.825	0	0.01	0.002
2.825	0.1	0.0102	0.0019
2.825	0.2	0.0115	0.0021
2.825	0.3	0.0146	0.0021
2.825	0.4	0.0233	0.0028
2.825	0.5	0.0567	0.0047
2.825	0.6	0.1406	0.0076
2.825	0.7	0.3254	0.012
2.825	0.8	0.666	0.0179
2.825	0.86	0.7636	0.0573
2.835	-0.8	0.0222	0.009
2.835	-0.7	0.018	0.0053
2.835	-0.6	0.0101	0.0035
2.835	-0.5	0.0068	0.0027
2.835	-0.4	0.0078	0.0033
2.835	-0.3	0.0117	0.0037
2.835	-0.2	0.0071	0.003
2.835	-0.1	0.0062	0.0016
2.835	0	0.0102	0.002
2.835	0.1	0.0105	0.002
2.835	0.2	0.0162	0.0026
2.835	0.3	0.012	0.002
2.835	0.4	0.0226	0.0028
2.835	0.5	0.0499	0.0044
2.835	0.6	0.1308	0.0072
2.835	0.7	0.2985	0.0116
2.835	0.8	0.5703	0.0164
2.835	0.86	0.7373	0.0633
