CLAS physics database search results
Measurement E30M1
G11A Run K+Lambda Data
M. McCracken, C. A. Meyer
2008

W	cos(theta_K+)	dsigma/dcos(theta K+)	Data errors
GeV	dimensionless	mcb	mcb
1.855	0.2	1.371	0.0442
1.855	0.3	1.4366	0.0359
1.855	0.4	1.612	0.0455
1.855	0.5	1.7273	0.0457
1.855	0.6	1.8573	0.0462
1.855	0.7	1.9973	0.0491
1.855	0.8	1.9569	0.0742
1.865	-0.7	0.6184	0.0568
1.865	-0.6	0.7084	0.0416
1.865	-0.5	0.7578	0.0392
1.865	-0.4	0.7797	0.0361
1.865	-0.3	0.7875	0.0329
1.865	-0.2	0.898	0.0321
1.865	-0.1	1.0509	0.0376
1.865	0	1.1769	0.0392
1.865	0.1	1.4046	0.0482
1.865	0.2	1.4002	0.0412
1.865	0.3	1.3801	0.0345
1.865	0.4	1.5906	0.0413
1.865	0.5	1.6753	0.0404
1.865	0.6	1.7973	0.0396
1.865	0.7	1.9633	0.0478
1.865	0.8	1.9899	0.0767
1.865	0.89	1.9558	0.1382
1.875	-0.8	0.6845	0.1681
1.875	-0.7	0.7589	0.239
1.875	-0.6	0.7933	0.0774
1.875	-0.5	0.874	0.051
1.875	-0.4	0.785	0.0508
1.875	-0.3	0.8724	0.036
1.875	-0.2	0.8851	0.0321
1.875	-0.1	1.0942	0.0385
1.875	0	1.1831	0.0393
1.875	0.1	1.4483	0.0505
1.875	0.2	1.4136	0.0416
1.875	0.3	1.4123	0.0391
1.875	0.4	1.5824	0.0408
1.875	0.5	1.6837	0.0409
1.875	0.6	1.8114	0.0407
1.875	0.7	1.8802	0.0451
1.875	0.8	2.0079	0.0737
1.875	0.89	2.3466	0.1596
1.885	-0.7	0.714	0.0659
1.885	-0.6	0.7468	0.049
1.885	-0.5	0.8237	0.0615
1.885	-0.4	0.7994	0.0331
1.885	-0.3	0.794	0.0301
1.885	-0.2	0.9448	0.0322
1.885	-0.1	1.0968	0.038
1.885	0	1.0514	0.0354
1.885	0.1	1.3758	0.0491
1.885	0.2	1.2488	0.0358
1.885	0.3	1.4038	0.0353
1.885	0.4	1.5278	0.0398
1.885	0.5	1.5242	0.0498
1.885	0.6	1.7152	0.0582
1.885	0.7	1.8554	0.0478
1.885	0.8	1.9094	0.0693
1.885	0.89	2.2606	0.1686
1.895	-0.8	0.8266	0.1236
1.895	-0.7	0.7811	0.0681
1.895	-0.6	0.8356	0.0495
1.895	-0.5	0.8779	0.0416
1.895	-0.4	0.8609	0.0341
1.895	-0.3	0.9137	0.0339
1.895	-0.2	0.9008	0.0301
1.895	-0.1	1.0271	0.0367
1.895	0	1.1029	0.0369
1.895	0.1	1.2802	0.0459
1.895	0.2	1.2438	0.036
1.895	0.3	1.3591	0.035
1.895	0.4	1.458	0.052
1.895	0.5	1.6033	0.0545
1.895	0.6	1.7572	0.0402
1.895	0.7	1.8918	0.0452
1.895	0.8	2.0359	0.0733
1.895	0.89	2.1314	0.1664
